epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec
1,1.0508253127336502,0.0025731007190188393,0.9994531869888306,0.0004893565201200545,0.000244738142162822,0.00026298487836949375,1.0,0.0005258314710135402,72.49671673774719
2,1.0500959008932114,0.0037438264771481045,0.9994533061981201,0.0,0.0,0.0,0.0,0.0,22.235372066497803
3,1.0500952899456024,0.002836367035342846,0.9994513988494873,0.0,0.0,0.0,0.0,0.0,22.2582004070282
4,1.047296717762947,0.00655940429714974,0.9994480013847351,0.0,0.0,0.0,0.0,0.0,22.291969060897827
5,1.042721077799797,0.014171536429785192,0.9994433522224426,0.0,0.0,0.0,0.0,0.0,22.164978504180908
6,1.047306016087532,0.003659766196506098,0.9994294345378876,0.0,0.0,0.0,0.0,0.0,22.229421615600586
7,1.0425488352775574,0.010328323129215278,0.9993799328804016,0.0,0.0,0.0,0.0,0.0,21.885668992996216
8,1.0399657785892487,0.010618430846079718,0.9992775917053223,0.002923976629972458,0.0014641288542627954,0.0008630609896432681,1.0,0.0017246335153779822,21.914535999298096
9,1.0376887768507004,0.011971237316174665,0.9991598427295685,0.0017777777975425124,0.0008896797252024505,0.000589101620029455,0.6666666666666666,0.0011771630370806356,22.866804361343384
10,1.0416440963745117,0.00449738722818438,0.9990025162696838,0.00296296295709908,0.0014836795222819038,0.0005598320503848845,0.6666666666666666,0.0011187246538945602,22.289856672286987
11,1.039091095328331,0.008121819362713723,0.9988394379615784,0.0025706940796226263,0.00128700128310078,0.0008645533141210375,1.0,0.0017276130146847107,21.972185134887695
12,1.0410520285367966,0.004050983610795811,0.9987820684909821,0.002336448524147272,0.0011695906061964883,0.0008361204013377926,1.0,0.001670843776106934,22.006699323654175
13,1.0356757640838623,0.00921505203587003,0.9987801611423492,0.0022148394491523504,0.0011086474626439084,0.0008155498165012913,1.0,0.0016297704739915797,22.034191370010376
14,1.030642494559288,0.015279073733836412,0.9988327622413635,0.0021739129442721605,0.001088139232117015,0.0007772020725388601,1.0,0.0015531969971524719,22.17696189880371
15,1.0366759449243546,0.006058320082956925,0.9987108707427979,0.0035211266949772835,0.0017636683974262745,0.0009860312243221035,1.0,0.001970119848957478,22.18835973739624
16,1.034370705485344,0.008053178557020146,0.9986901581287384,0.003484320593997836,0.0017452007163973196,0.0010150566739976314,1.0,0.0020280547574784515,22.196231842041016
17,1.031864270567894,0.008892852129065432,0.998537540435791,0.0042105261236429214,0.0021097045448711348,0.0010954902318787657,1.0,0.0021885828925770562,22.191438674926758
18,1.0320686995983124,0.008085837078397162,0.9985239207744598,0.0023557126987725496,0.0011792453309868618,0.0008435259384226065,1.0,0.001685630004214075,22.235668420791626
19,1.0352990627288818,0.004123012549825944,0.9981287717819214,0.0032760032918304205,0.0016406890973571164,0.0008305647840531562,0.6666666666666666,0.0016590626296142678,22.194469213485718
20,1.030133455991745,0.00970576204417739,0.9982558190822601,0.002436053706333041,0.0012195122518370237,0.0007441398983008806,1.0,0.0014871731317387534,22.008991241455078
21,1.0318613946437836,0.0059999569348292425,0.9982823729515076,0.0022050717379897833,0.0011037527960430324,0.0007682458386683739,1.0,0.0015353121801432957,22.605862617492676
22,1.0327326655387878,0.004370639828266576,0.9982008337974548,0.0034904014319181442,0.001748251766193109,0.0008522727272727272,1.0,0.0017030939540164634,22.3124783039093
23,1.0295963436365128,0.008026926720049232,0.9979944229125977,0.003340013325214386,0.0016728002501701883,0.0009363295880149813,0.8333333333333334,0.0018705574261129818,22.45725440979004
24,1.0302084535360336,0.005909046813030727,0.9980751872062683,0.003944773226976395,0.00197628461079898,0.0009249267766301834,1.0,0.001848144155244109,22.170765161514282
25,1.0255569517612457,0.010126728506293148,0.9980180263519287,0.0029761905316263437,0.0014903129935234139,0.0009448818897637795,1.0,0.0018879798615481437,22.177712202072144
26,1.0219063013792038,0.0146640308375936,0.9980078637599945,0.0027624310459941626,0.001383125917985262,0.0008751458576429405,1.0,0.0017487612940833574,22.286929607391357
27,1.0287305414676666,0.0061452285590348765,0.9979336261749268,0.0028860028833150864,0.0014450867038545254,0.0008742532420224392,1.0,0.0017469791818314163,22.195700645446777
28,1.0267051011323929,0.00891641853377223,0.9980522096157074,0.0026881720405071974,0.001345895018933276,0.0008700696055684454,1.0,0.0017386264850767893,21.93168544769287
29,1.0242081135511398,0.009938586095813662,0.9982183575630188,0.0027027027681469917,0.0013531800057471628,0.000825195984046211,1.0,0.0016490311941734232,22.199787139892578
30,1.0208903029561043,0.01292692156857811,0.9982542991638184,0.0032573288772255182,0.00163132131362421,0.0009212344541685859,1.0,0.001840773124712379,21.892403602600098
31,1.0241787433624268,0.007853491784771904,0.9975617229938507,0.004032257944345474,0.0020202019598736785,0.0010152284263959391,1.0,0.002028397565922921,22.168906450271606
32,1.0245986133813858,0.007880074583226815,0.9978304505348206,0.0033613445702940226,0.001683501699795856,0.0009932130441979805,1.0,0.0019844551017033237,22.19937038421631
33,1.0202327370643616,0.010576329674222507,0.9978189468383789,0.0031225604470819235,0.0015637216311988758,0.0008886914019106865,0.6666666666666666,0.0017750166407810072,22.183090209960938
34,1.0244706124067307,0.005835957519593649,0.998566210269928,0.0,0.0,0.0,0.0,0.0,21.611647844314575
35,1.0205423161387444,0.010754889095551334,0.9977864027023315,0.003100775182247162,0.001552795025262306,0.0007395082270290257,0.6666666666666666,0.0014773776546629733,19.835773706436157
36,1.024652436375618,0.005334333807695657,0.9973608255386353,0.003246753243729472,0.0016260162586457937,0.0011389521640091116,1.0,0.0022753128555176336,20.00960636138916
37,1.01427660882473,0.01703771592292469,0.9978076219558716,0.002509410260245204,0.0012562813928310647,0.0009361834919644251,1.0,0.0018706157443491819,19.937767028808594
