epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec,gpu_memory_mb_peak,grad_norm_mean,grad_norm_std,lr_encoder,lr_decoder
1,1.050758570432663,0.0024645795674587134,0.9994509816169739,0.0,0.0,0.0,0.0,0.0,138.81468844413757,1655.8740234375,0.054892842500000004,0.05717703848903926,9.960573506572391e-06,0.0003984229402628956
2,1.0484610795974731,0.0026533071431913413,0.9994339644908905,0.0,0.0,0.0,0.0,0.0,31.152918100357056,697.60693359375,0.05546443458333333,0.049487808879412405,9.842915805643156e-06,0.0003937166322257262
3,1.0463830381631851,0.006411159483832307,0.9994150400161743,0.0,0.0,0.0,0.0,0.0,29.739899158477783,697.35693359375,0.04406647625,0.03097117211397033,9.648882429441258e-06,0.00038595529717765027
4,1.0467042028903961,0.0030538979845005088,0.9994005560874939,0.0,0.0,0.0,0.0,0.0,30.454415798187256,694.85693359375,0.0317511575,0.009605931055293067,9.381533400219319e-06,0.0003752613360087727
5,1.0427649021148682,0.008232864318415523,0.9993752241134644,0.0,0.0,0.0,0.0,0.0,29.574803829193115,695.10693359375,0.035937028125,0.015319230160393675,9.045084971874738e-06,0.0003618033988749895
6,1.0436479896306992,0.005322864177287556,0.9993043541908264,0.0,0.0,0.0,0.0,0.0,29.257588386535645,698.10693359375,0.037081641875,0.02846235860466179,8.644843137107058e-06,0.00034579372548428235
7,1.039635956287384,0.009696567998616956,0.9990868866443634,0.002109704539179802,0.0010559661578881593,0.0005712109672505713,0.5,0.0011411182959300116,29.417625427246094,696.10693359375,0.044664020624999995,0.02248695383081751,8.18711994874345e-06,0.000327484797949738
8,1.039636641740799,0.0071138278290163726,0.9986704587936401,0.0031080031767487526,0.0015564202679429378,0.0007654037504783774,0.6666666666666666,0.0015290519877675841,29.333252429962158,697.35693359375,0.03843399625,0.015499249057677711,7.679133974894982e-06,0.0003071653589957993
9,1.0391114354133606,0.005768548158812337,0.999171257019043,0.0,0.0,0.0,0.0,0.0,29.955729246139526,696.85693359375,0.032900610625,0.006839724501453319,7.128896457825363e-06,0.0002851558583130145
10,1.0324867516756058,0.014810754408244975,0.9992994964122772,0.0,0.0,0.0,0.0,0.0,29.80878710746765,697.38671875,0.050462953125,0.028902967926424685,6.545084971874737e-06,0.0002618033988749895
11,1.0398368388414383,0.0035235489704064094,0.9986241459846497,0.004920049104839563,0.00246609119731368,0.0007996801279488205,0.6666666666666666,0.001597444089456869,29.437581777572632,697.85693359375,0.04073365375,0.021781009885514343,5.936906572928624e-06,0.00023747626291714495
12,1.0378796309232712,0.005216318255406804,0.9985146522521973,0.0022624435368925333,0.001132502880357355,0.0008707009142359599,1.0,0.0017398869073510222,29.24519634246826,696.60693359375,0.0416313975,0.022324710105642607,5.3139525976465675e-06,0.0002125581039058627
13,1.0367625802755356,0.005976637501589721,0.9986781477928162,0.0016339869471266866,0.0008176614976705242,0.0007202016564638099,1.0,0.001439366678661389,29.635972023010254,696.48193359375,0.041159185,0.03936531262636037,4.686047402353433e-06,0.00018744189609413734
14,1.0345374941825867,0.007441190093231853,0.9985243678092957,0.001970443408936262,0.0009861933235352795,0.0007657945118059987,1.0,0.0015304170386430302,29.88109254837036,694.85693359375,0.051697724375000004,0.041788463197462315,4.063093427071377e-06,0.0001625237370828551
15,1.0361219346523285,0.005610236490610987,0.9984342753887177,0.0022522523067891598,0.0011273957432262527,0.0008463817181548879,1.0,0.0016913319238900633,29.850856065750122,697.13671875,0.034349687500000003,0.006864778079962327,3.4549150281252644e-06,0.0001381966011250106
16,1.0380264818668365,0.0023603121808264405,0.998464822769165,0.002239641733467579,0.0011210762713356312,0.0007975541672205237,1.0,0.00159383716296985,29.36816906929016,697.35693359375,0.043190206875,0.03241974049765584,2.8711035421746364e-06,0.00011484414168698548
17,1.0353083461523056,0.004550900601316243,0.998376190662384,0.002475247485563159,0.0012391573533431194,0.0008843036109064112,1.0,0.0017670446178766016,29.943575382232666,696.10693359375,0.029322686875,0.002589551151533598,2.320866025105015e-06,9.283464100420063e-05
18,1.030833587050438,0.009803588487557136,0.9982060790061951,0.0028571428265422583,0.0014306151491766356,0.0009549578226961642,1.0,0.0019080934965813325,29.65885281562805,696.35693359375,0.037219683749999996,0.023862646179425986,1.8128800512565508e-06,7.251520205026205e-05
