epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec,gpu_memory_mb_peak,grad_norm_mean,grad_norm_std,lr_encoder,lr_decoder
1,1.049663007259369,0.0032353506103390828,0.9993457198143005,0.0007931262371130288,0.0003967204432526858,0.00041160732661041366,1.0,0.0008228759514503187,91.90333843231201,1653.62451171875,0.053946249375,0.05288039275471338,9.960573506572391e-06,0.0003984229402628956
2,1.046188861131668,0.007036192517261952,0.9992290437221527,0.0012607690878212452,0.0006307821792469942,0.0006649673057741328,1.0,0.0013290508361944846,21.167845487594604,690.99462890625,0.052210808750000004,0.04556414322143296,9.842915805643156e-06,0.0003937166322257262
3,1.0439780801534653,0.00851979578146711,0.9991579651832581,0.0012716174824163318,0.0006362132511545224,0.0006727664155005383,0.8333333333333334,0.001344447432105405,21.803359031677246,691.24462890625,0.04174791,0.028960721708343757,9.648882429441258e-06,0.00038595529717765027
4,1.0442925691604614,0.004947505003656261,0.9991207122802734,0.001468860195018351,0.00073496988151092,0.0007689941556444171,0.8333333333333334,0.0015365703749231714,22.327715396881104,691.99462890625,0.03078979,0.008086627600559664,9.381533400219319e-06,0.0003752613360087727
5,1.0400643199682236,0.010543347481871024,0.9990891814231873,0.0010859728790819645,0.0005432814339924946,0.0005683971201212581,1.0,0.0011361484567316796,21.693765878677368,693.197265625,0.036635016250000006,0.015954265557749443,9.045084971874738e-06,0.0003618033988749895
6,1.0405891388654709,0.007433090213453397,0.9990648627281189,0.001141769695095718,0.0005712109432200968,0.0005956517422813462,1.0,0.0011905943049905744,21.75654101371765,692.49462890625,0.03509997208333333,0.02357648652931807,8.644843137107058e-06,0.00034579372548428235
7,1.035958245396614,0.01222165988292545,0.998872697353363,0.0013547076378017664,0.0006778129380829942,0.0007095553453169347,1.0,0.0014181044670290711,21.709062576293945,691.197265625,0.04258344333333333,0.021556145320199425,8.18711994874345e-06,0.000327484797949738
8,1.0371865183115005,0.009481797955231741,0.9988527297973633,0.0012897677952423692,0.0006453000412269061,0.0006727211570803902,1.0,0.0013445378151260507,21.977229833602905,691.24462890625,0.03956698375,0.018960337819710387,7.679133974894982e-06,0.0003071653589957993
9,1.0371279418468475,0.008548447251087055,0.9988282918930054,0.0012763241538777947,0.0006385695878333392,0.0006633499170812604,1.0,0.0013258203513423932,23.64833927154541,691.697265625,0.032151943333333335,0.006032281957649931,7.128896457825363e-06,0.0002851558583130145
10,1.028650388121605,0.019022764230612665,0.9986449480056763,0.0015033825766295195,0.0007522567531626881,0.0007859575582918522,1.0,0.0015706806282722514,23.782163619995117,693.99462890625,0.051597251250000004,0.029153780816499074,6.545084971874737e-06,0.0002618033988749895
11,1.0384265631437302,0.0052370475605130196,0.9987431168556213,0.001306904829107225,0.0006538796938183656,0.0006844626967830253,1.0,0.0013679890560875513,23.5604248046875,692.49462890625,0.03726711458333334,0.01854401789412648,5.936906572928624e-06,0.00023747626291714495
12,1.0363272428512573,0.007499784114770591,0.9986979365348816,0.0013492242433130741,0.0006750675303954786,0.0007066305499941114,1.0,0.0014122631517006002,23.620124101638794,691.24462890625,0.03881466166666667,0.020352973448510676,5.3139525976465675e-06,0.0002125581039058627
13,1.034977599978447,0.008283779112389311,0.9986335337162018,0.0014265335630625486,0.0007137758941660407,0.0007464543418760885,1.0,0.0014917951268025858,23.773006677627563,692.697265625,0.037633244583333336,0.03258970870079771,4.686047402353433e-06,0.00018744189609413734
14,1.0330700129270554,0.010133537405636162,0.9986914992332458,0.0013940520584583282,0.0006975122133976075,0.0007301935012778386,1.0,0.0014593214155417733,23.55991220474243,693.24462890625,0.046312125,0.035848027895860717,4.063093427071377e-06,0.0001625237370828551
15,1.0351167172193527,0.006676471864921041,0.9985246658325195,0.0015243901871144772,0.0007627764780462863,0.0007992540295723991,1.0,0.0015972314654598694,23.639673233032227,691.99462890625,0.03272042208333333,0.006199441361040781,3.4549150281252644e-06,0.0001381966011250106
16,1.0374576598405838,0.003783047606702894,0.9986728429794312,0.0013950243592262268,0.0006979990424465782,0.0007305491294289541,1.0,0.0014600316340187371,23.61460828781128,693.24462890625,0.038213075,0.027409241813767853,2.8711035421746364e-06,0.00011484414168698548
17,1.0344365537166595,0.006757445531548001,0.9985613524913788,0.001507916604168713,0.0007545271841189713,0.0007866789038940606,1.0,0.0015721210533211057,23.6469144821167,692.49462890625,0.029351532083333336,0.002971078611236974,2.320866025105015e-06,9.283464100420063e-05
18,1.0289366245269775,0.013508194708265364,0.9985102117061615,0.0015818612882867455,0.0007915567106023655,0.0008297607523164155,1.0,0.0016581456404587537,23.76534104347229,693.49462890625,0.036283419166666664,0.020279362755047495,1.8128800512565508e-06,7.251520205026205e-05
19,1.0291496589779854,0.013304862077347934,0.9985098838806152,0.0015793630154803395,0.0007903055974559442,0.0008310249307479224,1.0,0.0016606698034874064,22.798053979873657,693.24462890625,0.040792730416666666,0.021799686858071397,1.3551568628929432e-06,5.4206274515717736e-05
20,1.0322552621364594,0.009546407105517574,0.9986119866371155,0.0015033825766295195,0.0007522567531626881,0.0007886435331230284,1.0,0.0015760441292356185,27.039511919021606,692.74462890625,0.04049326875,0.019341284281461098,9.549150281252633e-07,3.819660112501054e-05
21,1.0355330258607864,0.005145691189682111,0.9986410140991211,0.0014563106233254075,0.0007286859081772768,0.00076103500761035,1.0,0.001520912547528517,26.70529055595398,693.24462890625,0.0317060175,0.007087500455245283,6.184665997806822e-07,2.473866399122729e-05
22,1.0293555706739426,0.012551258099847473,0.998599112033844,0.0015174506697803736,0.0007593014361265946,0.0007947019867549669,1.0,0.0015881418740074113,23.138909578323364,690.99462890625,0.04456756333333333,0.02397672957232729,3.511175705587433e-07,1.4044702822349733e-05
23,1.0352362096309662,0.005102199022076093,0.9986462593078613,0.0014655593549832702,0.000733317037313737,0.000766969193404065,1.0,0.001532762804955933,23.132067680358887,691.24462890625,0.03744925416666667,0.0330193546283836,1.5708419435684518e-07,6.283367774273808e-06
24,1.0249422490596771,0.01798676660109777,0.9986051917076111,0.0014833126915618777,0.0007422068081701,0.000777000777000777,1.0,0.0015527950310559007,22.22197985649109,694.197265625,0.051136843749999994,0.05106608190448773,3.9426493427611177e-08,1.5770597371044473e-06
25,1.0275398567318916,0.01598375781031791,0.9986303448677063,0.0015030059730634093,0.0007520681680060367,0.0007858546168958742,1.0,0.001570475068708284,21.76205325126648,691.49462890625,0.06684456666666667,0.10865302805698825,0.0,0.0
