epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec,gpu_memory_mb_peak,grad_norm_mean,grad_norm_std,lr_encoder,lr_decoder
1,1.0507601648569107,0.002467478949256474,0.9994511008262634,0.0,0.0,0.0,0.0,0.0,103.89183402061462,1655.8740234375,0.05540784224999999,0.05617768469082699,9.960573506572391e-06,0.0003984229402628956
2,1.0484586358070374,0.0027551016974030063,0.9994339942932129,0.0,0.0,0.0,0.0,0.0,23.757338047027588,697.60693359375,0.0495014465,0.04290347106890307,9.842915805643156e-06,0.0003937166322257262
3,1.0463880449533463,0.006446127536037238,0.9994143545627594,0.0,0.0,0.0,0.0,0.0,23.742714166641235,697.35693359375,0.041817171874999996,0.029672894124788518,9.648882429441258e-06,0.00038595529717765027
4,1.0467029213905334,0.0030157764558680356,0.9994029402732849,0.0,0.0,0.0,0.0,0.0,27.372682094573975,694.85693359375,0.0302509821875,0.007219511154731034,9.381533400219319e-06,0.0003752613360087727
5,1.0427754670381546,0.008217076654545963,0.9993760585784912,0.0,0.0,0.0,0.0,0.0,28.949639081954956,695.10693359375,0.0378465240625,0.017428382626613666,9.045084971874738e-06,0.0003618033988749895
6,1.0436825156211853,0.00572724333324004,0.9993045926094055,0.0,0.0,0.0,0.0,0.0,28.684144496917725,698.10693359375,0.037909425,0.029639615107702244,8.644843137107058e-06,0.00034579372548428235
7,1.039640724658966,0.009703867981443182,0.9990954399108887,0.0016339869471266866,0.0008176614976705242,0.00040192926045016077,0.3333333333333333,0.0008028904054596548,29.846553564071655,696.10693359375,0.042653760624999995,0.020370834810814385,8.18711994874345e-06,0.000327484797949738
8,1.0396511107683182,0.007123730290913954,0.9987220764160156,0.002754820976406336,0.001379310364766084,0.0006030150753768845,0.5,0.0012045773940975708,28.756946325302124,697.35693359375,0.0384883896875,0.01724115437317523,7.679133974894982e-06,0.0003071653589957993
9,1.0391464531421661,0.005776941863587126,0.9991759061813354,0.0,0.0,0.0,0.0,0.0,29.58998680114746,696.85693359375,0.03281578,0.0065612306339893275,7.128896457825363e-06,0.0002851558583130145
10,1.0324954241514206,0.014915197971276939,0.9992994070053101,0.0,0.0,0.0,0.0,0.0,29.58891987800598,697.38671875,0.054636720624999996,0.029556311053454593,6.545084971874737e-06,0.0002618033988749895
