epoch,mae_loss,epoch_time_sec
1,0.3767959102988243,40.798787117004395
2,0.21543453447520733,15.453166723251343
3,0.1492956094443798,15.38774061203003
4,0.09967503976076841,15.62268352508545
5,0.08344859909266233,15.23640489578247
6,0.07207769341766834,15.50896954536438
7,0.06571317464113235,15.670879125595093
8,0.06175252050161362,15.548326969146729
9,0.05907139042392373,15.40841031074524
10,0.05667107738554478,15.470629215240479
11,0.05524898646399379,15.516485452651978
12,0.05378841329365969,15.271843910217285
13,0.05257983552291989,15.351473569869995
14,0.051714404951781034,15.47345232963562
15,0.05037150997668505,15.522916793823242
16,0.04990725452080369,15.373076677322388
17,0.048691199626773596,15.453497648239136
18,0.04771307948976755,15.260984659194946
19,0.04705808823928237,15.479326486587524
20,0.0467208456248045,15.45248532295227
21,0.046168516390025616,15.534870386123657
22,0.04605738818645477,15.313841581344604
23,0.04544938541948795,15.329052686691284
24,0.044912916142493486,15.459102392196655
25,0.04431938286870718,15.370214700698853
26,0.043732594698667526,15.734079599380493
27,0.042950880248099566,15.242660522460938
28,0.042610759381204844,15.266157865524292
29,0.04264305578544736,15.548692226409912
30,0.04227218125015497,15.269531965255737
31,0.041496588848531246,15.4385404586792
32,0.041709167417138815,15.274752378463745
33,0.041836877819150686,15.642638683319092
34,0.040752863977104425,15.269424676895142
35,0.04080048529431224,15.518342018127441
36,0.04028257727622986,15.37878155708313
37,0.04015598492696881,15.45543909072876
38,0.04010671656578779,15.285287380218506
39,0.039832393638789654,15.460547924041748
40,0.039317105896770954,15.482937574386597
41,0.03937653824687004,15.346096754074097
42,0.03938525915145874,15.299731254577637
43,0.03921393817290664,15.508140087127686
44,0.0388592598028481,15.263497352600098
45,0.038682837039232254,15.336194038391113
46,0.03858500486239791,15.505363941192627
47,0.03859765129163861,15.46516752243042
48,0.03861378785222769,15.283306121826172
49,0.03830664465203881,15.124322414398193
50,0.0383923826739192,15.395742893218994
51,0.03789816005155444,15.51492428779602
52,0.0378861497156322,15.259283781051636
53,0.038065834902226925,15.429388046264648
54,0.038451820611953735,15.344378471374512
55,0.037810382433235645,15.248858213424683
56,0.037861897610127926,15.174173593521118
57,0.03788442211225629,15.200374364852905
58,0.03759480454027653,15.194651365280151
59,0.037709545344114304,15.176799774169922
60,0.03762129694223404,15.2550048828125
