epoch,train_loss,train_dice,val_loss_random,val_dice_random,val_precision_random,val_recall_random,val_f1_random,val_loss_fixed32,val_dice_fixed32,val_precision_fixed32,val_recall_fixed32,val_f1_fixed32,epoch_time_sec
1,1.0518981963396072,0.001996033068280667,0.9932894110679626,0.00429108995012939,0.0021253985122210413,1.0,0.0042417815482502655,0.9992971122264862,0.0005101606948301196,0.00025383931971062316,1.0,0.0005075498033244512,62.20987343788147
2,1.0505392849445343,0.001446276786737144,0.9916747808456421,0.007485474110580981,0.0033873043831718717,1.0,0.006751738572682466,0.9989934861660004,0.0009283614344894886,0.0004491017964071856,1.0,0.0008978003890468353,23.409590482711792
3,1.0438126921653748,0.007404104893794283,0.9916017651557922,0.011582705192267895,0.0057910586055130876,1.0,0.011515430677107325,0.9989737570285797,0.0011250702664256096,0.0005465974309920743,1.0,0.0010925976509150504,23.007049798965454
4,1.0381324291229248,0.021982694161124527,0.9914941787719727,0.017071187496185303,0.008862105636299186,1.0,0.017568517217146876,0.999046266078949,0.0013330371584743261,0.000658906215681968,1.0,0.0013169446883230906,23.346062898635864
5,1.0432353019714355,0.016013732776627876,0.9928255379199982,0.008206597063690424,0.004162157662532257,1.0,0.008289811821271658,0.9992743730545044,0.0006143135251477361,0.0003051571559353067,1.0,0.0006101281269066504,23.078046083450317
6,1.0427815914154053,0.013542018830776215,0.991192489862442,0.014591282699257135,0.007595321282090233,1.0,0.015076134479119553,0.9990307688713074,0.0011072152992710471,0.0005525879535826119,1.0,0.0011045655375552283,23.04697871208191
7,1.0397019684314728,0.025480007781879976,0.9909457564353943,0.01584622310474515,0.00829737802854298,1.0,0.016458196181698487,0.9989585280418396,0.0013155009364709258,0.0006548073774964531,1.0,0.001308757770749264,23.341569900512695
8,1.0403129607439041,0.017374117713188753,0.9887033700942993,0.01917717093601823,0.010012014417300761,1.0,0.019825535289452814,0.9985510408878326,0.0017564402660354972,0.0008678044547295343,1.0,0.0017341040462427748,23.12216019630432
9,1.0321819484233856,0.03776760189794004,0.9899480640888214,0.0192918311804533,0.01004217714400482,1.0,0.019884668920262475,0.9988142251968384,0.001685866853222251,0.0008316008316008316,1.0,0.001661819692563357,23.088794946670532
10,1.0415564328432083,0.0080566992983222,0.9879010021686554,0.017821655608713627,0.00931098696461825,1.0,0.018450184501845022,0.99855837225914,0.0015576323494315147,0.000785751702462022,1.0,0.0015702695629416382,23.163084268569946
