epoch,mae_loss,epoch_time_sec
1,0.37543904408812523,40.672776222229004
2,0.21162447147071362,15.482714891433716
3,0.13422687351703644,15.431226253509521
4,0.0937791122123599,15.499630689620972
5,0.07589627988636494,15.576942443847656
6,0.06806780397891998,15.26949405670166
7,0.06286039436236024,15.38759446144104
8,0.060324985999614,15.542338848114014
9,0.058390861842781305,15.433658123016357
10,0.0569250569678843,15.835346698760986
11,0.054590347688645124,15.573694944381714
12,0.053954784758388996,15.588018417358398
13,0.05309792933985591,15.438507318496704
14,0.05136302439495921,17.814456701278687
15,0.05013855127617717,18.479313373565674
16,0.04976949421688914,18.907599449157715
17,0.049250639509409666,18.759143352508545
18,0.04857779433950782,18.43773317337036
19,0.04739535553380847,18.671831130981445
20,0.04707223130390048,18.530093908309937
21,0.046320007648319006,18.418294429779053
22,0.04556481679901481,18.5367329120636
23,0.04556452389806509,18.434768199920654
24,0.044639390893280506,18.479158401489258
25,0.04456683062016964,18.543179512023926
26,0.043881576508283615,17.9418888092041
27,0.043782352935522795,17.070054054260254
28,0.043315690010786057,17.369839906692505
29,0.04278971580788493,16.939557313919067
30,0.04266881197690964,16.96975326538086
31,0.04228017805144191,17.19680166244507
32,0.04181157983839512,16.948732376098633
33,0.041925468016415834,17.541977882385254
34,0.041547415778040886,16.92222785949707
35,0.04155437368899584,17.124883890151978
36,0.04106177855283022,17.19907522201538
37,0.040620468091219664,16.965551376342773
38,0.04041385790333152,15.394092321395874
39,0.04038752010092139,15.483783483505249
40,0.04015021398663521,15.53115200996399
41,0.03979127202183008,15.448132038116455
42,0.03967024385929108,15.587111234664917
43,0.039332011714577675,15.573159456253052
44,0.0395649429410696,15.608620166778564
45,0.03915620921179652,15.6080162525177
46,0.039170579984784126,15.517248392105103
47,0.03895878046751022,15.754399299621582
48,0.038931564427912235,18.784483194351196
49,0.0383451241068542,18.148159980773926
50,0.03890637820586562,20.149404048919678
51,0.03839920600876212,23.624669790267944
52,0.0382311325520277,23.39558243751526
53,0.038663746789097786,23.51269030570984
54,0.03817624971270561,23.276979684829712
55,0.03802847070619464,23.259312629699707
56,0.038616607896983624,23.344834089279175
57,0.03833546629175544,23.712900400161743
58,0.03827787283807993,23.506558656692505
59,0.038026080932468176,23.59368634223938
60,0.038274077232927084,22.711000204086304
