epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec
1,1.0508387088775635,0.003373335945070721,0.9993036985397339,0.0008076457306742668,0.0004039860041228744,0.00039766702014846237,1.0,0.0007950178879024779,90.37038660049438
2,1.049250304698944,0.0038690105357090943,0.9991641044616699,0.0010078952182084322,0.0005042017003456116,0.000497801377250477,1.0,0.0009951073886723609,25.50355863571167
3,1.0493085533380508,0.0029661520529771224,0.99908846616745,0.0012853470398113132,0.0006430868147725114,0.0006324443975967113,1.0,0.001264089328979248,25.65461802482605
4,1.0452408641576767,0.007626753766089678,0.9990316331386566,0.001421464141458273,0.0007112375700800999,0.0007005253940455342,1.0,0.001400070003500175,25.8859703540802
5,1.04015251994133,0.013393227010965347,0.998999834060669,0.001357773202471435,0.0006793478013556369,0.0006775067750677507,1.0,0.0013540961408259986,25.63723134994507
6,1.0454390496015549,0.004434854185092263,0.9989270269870758,0.0014450866729021072,0.0007230657828142418,0.0007249879168680521,1.0,0.0014489253803429123,25.42406940460205
7,1.038699060678482,0.012220487587910611,0.9988674521446228,0.001480750273913145,0.0007409236984412804,0.0007427581084426838,1.0,0.0014844136566056407,25.608834266662598
8,1.0361898988485336,0.013419344293652102,0.9988448619842529,0.0014391940785571933,0.0007201152320675319,0.0007193382088478599,1.0,0.0014376422666826402,25.668078899383545
9,1.033062532544136,0.017437496862839907,0.9987985491752625,0.0014255167916417122,0.0007132667827086919,0.000722543352601156,1.0,0.0014440433212996387,26.48997950553894
10,1.0377681702375412,0.008843000017805025,0.998735249042511,0.0015120967291295528,0.0007566204061854693,0.0007617113114129745,1.0,0.0015222630978054042,25.954345226287842
11,1.0366196483373642,0.009676212721387856,0.9986521005630493,0.0015727392164990306,0.0007869884720659908,0.0007868852459016393,1.0,0.001572533088717075,25.43738055229187
12,1.0398579090833664,0.0046338888350874186,0.9986363649368286,0.001586881815455854,0.0007940709561081418,0.0007933359777865926,1.0,0.0015854141894569957,24.341026306152344
13,1.0330116897821426,0.01118462598969927,0.9986510574817657,0.0015987210208550096,0.0007999999988349154,0.0007998933475536596,1.0,0.0015985080591447982,23.112180471420288
14,1.0272443816065788,0.018307971127796918,0.998593270778656,0.001603420590981841,0.0008023535505930547,0.000803320390949257,1.0,0.001605351170568562,23.573840379714966
15,1.0351499170064926,0.007420800771797076,0.9986359477043152,0.001591934240423143,0.0007966011885655912,0.0007997867235403892,1.0,0.0015982951518380395,22.67726707458496
16,1.0330303311347961,0.00884713337291032,0.9985354840755463,0.0016411378746852279,0.0008212428236937526,0.0008206811653672548,1.0,0.0016400164001640015,22.78961944580078
